,Account length,Area code,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Account length,1.0,-0.07284286191824171,0.008694741976486259,0.001924680190204866,-0.0016950957401991548,0.001924680190204866,-0.010827624510564932,0.020225121793387445,-0.010815338127445498,-0.060862349249784176,-0.031107860800549912,-0.06088225714918331,0.02906516380103649,0.0008409000914110535,0.02906516380103649,0.00793405849340283,
Area code,-0.07284286191824171,1.0,-0.005297139112619796,-0.03890074776943944,-0.007003444179454452,-0.03890074776943944,-0.00230837662149511,0.034262690788149947,-0.0022917562311721546,0.001634408936599223,0.06697417666246563,0.0015678675538311861,0.03314867229802095,-0.028326051261161313,0.03314867229802095,0.012389839724478699,
Number vmail messages,0.008694741976486259,-0.005297139112619796,1.0,-0.14592267022850658,-0.014127803378252923,-0.14592267022850658,-0.04762739791492297,0.026032677979876146,-0.04760807804989822,-0.08856154539469571,0.06182657316434781,-0.0886822511827045,0.07589487272648189,0.06868383789249664,0.07589487272648189,0.036019871840207676,
Total day minutes,0.001924680190204866,-0.03890074776943944,-0.14592267022850658,1.0,0.05451405948737885,1.0,0.1512005980545036,-0.024158511057595235,0.15120238643218525,0.10189818258618531,0.013157567631290073,0.10184724558485463,-0.01452678614117203,0.08959057602913346,-0.01452678614117203,-0.2807682773948821,
Total day calls,-0.0016950957401991548,-0.007003444179454452,-0.014127803378252923,0.05451405948737885,1.0,0.054514059487378856,0.026971936454303347,-0.01378509605484124,0.026961219180356086,0.004774775415317247,-0.01966951984875853,0.004951841639351831,0.008247433645030855,-0.0064151510279167115,0.008247433645030855,-0.0006633856020576407,
Total day charge,0.001924680190204866,-0.03890074776943944,-0.14592267022850658,1.0,0.054514059487378856,1.0,0.1512005980545036,-0.024158511057595235,0.15120238643218525,0.10189818258618531,0.013157567631290073,0.10184724558485463,-0.01452678614117203,0.08959057602913346,-0.01452678614117203,-0.2807682773948821,
Total eve minutes,-0.010827624510564932,-0.00230837662149511,-0.04762739791492297,0.1512005980545036,0.026971936454303347,0.1512005980545036,1.0,0.04487502018389688,0.9999000443134378,-0.0019323929021638681,0.02643901743949399,-0.002093459261393624,0.022589518337705082,0.03818788352270068,0.022589518337705082,-0.14545453171564834,
Total eve calls,0.020225121793387445,0.034262690788149947,0.026032677979876146,-0.024158511057595235,-0.01378509605484124,-0.024158511057595235,0.04487502018389688,1.0,0.04482583857486942,-0.014220579479384432,0.000756189619526932,-0.014322316882557126,-0.012023772209374707,0.0809733192069166,-0.012023772209374707,0.009496156704090819,
Total eve charge,-0.010815338127445498,-0.0022917562311721546,-0.04760807804989822,0.15120238643218525,0.026961219180356086,0.15120238643218525,0.9999000443134378,0.04482583857486942,1.0,-0.0019192578953033527,0.026320922258319616,-0.0020803330670907333,0.02271230170014601,0.03819170100039515,0.02271230170014601,-0.14554231944358834,
Total night minutes,-0.060862349249784176,0.001634408936599223,-0.08856154539469571,0.10189818258618531,0.004774775415317247,0.10189818258618531,-0.0019323929021638681,-0.014220579479384432,-0.0019192578953033527,1.0,0.004829076459261923,0.9994534462469392,-0.044242007065317925,0.06101140440470077,-0.044242007065317925,-0.06478848747991986,
Total night calls,-0.031107860800549912,0.06697417666246563,0.06182657316434781,0.013157567631290073,-0.01966951984875853,0.013157567631290073,0.02643901743949399,0.000756189619526932,0.026320922258319616,0.004829076459261923,1.0,0.004751188631585649,0.06969483199772297,0.030901633536785166,0.06969483199772297,-0.0014743892561097888,
Total night charge,-0.06088225714918331,0.0015678675538311861,-0.0886822511827045,0.10184724558485463,0.004951841639351831,0.10184724558485463,-0.002093459261393624,-0.014322316882557126,-0.0020803330670907333,0.9994534462469392,0.004751188631585649,1.0,-0.044199212120716,0.061088155125923325,-0.044199212120716,-0.06494116601154214,
Total intl minutes,0.02906516380103649,0.03314867229802095,0.07589487272648189,-0.01452678614117203,0.008247433645030855,-0.01452678614117203,0.022589518337705082,-0.012023772209374707,0.02271230170014601,-0.044242007065317925,0.06969483199772297,-0.044199212120716,1.0,0.06552834775233973,0.9999999999999998,-0.06531796664144927,
Total intl calls,0.0008409000914110535,-0.028326051261161313,0.06868383789249664,0.08959057602913346,-0.0064151510279167115,0.08959057602913346,0.03818788352270068,0.0809733192069166,0.03819170100039515,0.06101140440470077,0.030901633536785166,0.061088155125923325,0.06552834775233973,1.0,0.06552834775233972,-0.01193125653087088,
Total intl charge,0.02906516380103649,0.03314867229802095,0.07589487272648189,-0.01452678614117203,0.008247433645030855,-0.01452678614117203,0.022589518337705082,-0.012023772209374707,0.02271230170014601,-0.044242007065317925,0.06969483199772297,-0.044199212120716,0.9999999999999998,0.06552834775233972,1.0,-0.06531796664144927,
Customer service calls,0.00793405849340283,0.012389839724478699,0.036019871840207676,-0.2807682773948821,-0.0006633856020576407,-0.2807682773948821,-0.14545453171564834,0.009496156704090819,-0.14554231944358834,-0.06478848747991986,-0.0014743892561097888,-0.06494116601154214,-0.06531796664144927,-0.01193125653087088,-0.06531796664144927,1.0,
Churn,,,,,,,,,,,,,,,,,1.0
