,Account length,Area code,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Account length,1.0,-0.006815975284294106,0.0022752567431949455,0.010651882152673627,0.023162827158908883,0.010651882152673627,-0.012784085046743431,0.010551790851544946,-0.012780876159301327,-0.006306267193816153,-0.011495815399660192,-0.00629615343750133,0.012036538820377652,0.019380713439173882,0.012036538820377652,0.0020798445367267828,0.013876676202022147
Area code,-0.006815975284294106,1.0,0.008952578058353025,-0.0038767890454918874,-0.006120636962024991,-0.0038767890454918874,-0.002174904575663301,-0.00610003781110001,-0.002165130073442986,0.006495915546705431,0.024121828105679817,0.006475204923045405,0.003492184022150367,-0.008359878011952777,0.003492184022150367,0.038277267899169305,0.005017030751327369
Number vmail messages,0.0022752567431949455,0.008952578058353025,1.0,0.018192676653458115,-0.01135746817641744,0.018192676653458115,0.013618278233363276,-0.00019031257026070394,0.013633317880280525,-0.0033938994139021687,0.00820660859956713,-0.003409916824061878,-0.010475973951556534,0.011951011901975879,-0.010475973951556534,-0.018668643556259978,-0.08611162711165465
Total day minutes,0.010651882152673627,-0.0038767890454918874,0.018192676653458115,1.0,0.009021221330398257,1.0,0.0049375914757326285,0.009583824274458442,0.0049362992332235775,0.0021850283596529054,0.010804812949516358,0.0021559677375936875,-0.010801116499858873,-0.0015708051077833456,-0.010801116499858873,-0.018859882371291554,0.13316380154640223
Total day calls,0.023162827158908883,-0.006120636962024991,-0.01135746817641744,0.009021221330398257,1.0,0.009021221330398255,-0.01385133615990863,0.01098312491690566,-0.01385925889212972,0.00424086496674665,-0.011666224570667207,0.004212922938018618,0.016491004905684455,0.0028319060243123043,0.016491004905684455,-0.00823810542217387,0.02359840187133591
Total day charge,0.010651882152673627,-0.0038767890454918874,0.018192676653458115,1.0,0.009021221330398255,1.0,0.0049375914757326285,0.009583824274458442,0.0049362992332235775,0.0021850283596529054,0.010804812949516358,0.0021559677375936875,-0.010801116499858873,-0.0015708051077833456,-0.010801116499858873,-0.018859882371291554,0.13316380154640223
Total eve minutes,-0.012784085046743431,-0.002174904575663301,0.013618278233363276,0.0049375914757326285,-0.01385133615990863,0.0049375914757326285,1.0,-0.004501083506684521,0.9999194432002839,-0.007977597158692583,0.00402438829458426,-0.008005331411766212,-0.0017874441140381875,0.011201379765399706,-0.0017874441140381875,-0.010932197001356172,0.057684351678020794
Total eve calls,0.010551790851544946,-0.00610003781110001,-0.00019031257026070394,0.009583824274458442,0.01098312491690566,0.009583824274458442,-0.004501083506684521,1.0,-0.004509386687690475,0.0042021910168789905,-0.002212753950994744,0.004215937291238962,-0.0008355307901954682,-0.0023968280274709406,-0.0008355307901954682,0.00040274203549769375,0.00047001476570184567
Total eve charge,-0.012780876159301327,-0.002165130073442986,0.013633317880280525,0.0049362992332235775,-0.01385925889212972,0.0049362992332235775,0.9999194432002839,-0.004509386687690475,1.0,-0.007983310059198634,0.004014784755976351,-0.008010766633320522,-0.0017955140811444254,0.011220771300727423,-0.0017955140811444254,-0.010921767543263468,0.05768448252755924
Total night minutes,-0.006306267193816153,0.006495915546705431,-0.0033938994139021687,0.0021850283596529054,0.00424086496674665,0.0021850283596529054,-0.007977597158692583,0.0042021910168789905,-0.007983310059198634,1.0,0.0063617441622593526,0.9996316691957481,-0.002612237147891223,0.01017241008885926,-0.002612237147891223,0.0011823013565678791,0.026494899513880472
